id,ONG,proyecto,fecha
12499,Blick-Bartell,GlaxoSmithKline PLC,1985-08-16
12500,Towne ,Cerro Bayo,2019-08-18
12501,"Macejkovic, Gusikowski And Keeling",CMP - Romeral,2012-06-05
12502,Fritsch And Sons,Cummins Inc.,1986-11-13
12503,Moore-Reilly,Data Processing,1989-06-10
12504,"Lynch, Feest And Eichmann","Everspin Technologies, Inc.",1996-02-02
12505,"Rice, Ondricka And Block",Yelp Inc.,1978-07-29
12506,"Schultz, Huel And Cormier","Shutterstock, Inc.",2002-08-20
12507,"Lowe, Quitzon And Johnson","Waste Management, Inc.",2011-11-03
12508,Afrikable Ongd,"RiverNorth Opportunities Fund, Inc.",2017-11-12
12509,Hessel-Toy,PowerShares Nasdaq Internet Portfolio,1985-12-23
12510,"Fay, Hyatt And Rolfson",Coiron,2013-12-15
12511,"Wolff, Russel And Ankunding",Laguna Siren,2003-02-25
12512,Hirthe Group,Double Eagle Acquisition Corp.,2006-12-31
12513,Nader-Kutch,"SeaChange International, Inc.",2013-11-17
12514,Schmitt-Mckenzie,Candelaria,1987-08-25
12515,"Hackett, Lockman And Littel","Arista Networks, Inc.",1993-07-03
12516,Green-Cruickshank,"Pinnacle Financial Partners, Inc.",2001-04-25
12517,"Kuvalis, Harris And Okuneva",KT Corporation,1979-10-19
12518,Kuhlman Group,San Geronimo,2019-04-13
12519,"Kohler, Harris And Weissnat","Blackhawk Network Holdings, Inc.",2000-07-04
12520,Russel ,El Abra,1973-11-18
12521,Miller-Luettgen,"Gray Television, Inc.",2016-04-11
12522,Hickle Group,El Salvador,2016-08-29
12523,Medhurst-Jones,Andes Travertine,2002-03-24
12524,Koss Group,Garrison Capital Inc.,1986-06-20
12525,Purdy And Sons,"Entergy Louisiana, Inc.",2019-01-12
12526,Kilback Inc,PTC Inc.,1997-02-28
12527,"Schultz, Keebler And Gorczany","Kura Oncology, Inc.",1987-05-21
12528,"Conroy, Wisoky And Daniel",Urstadt Biddle Properties Inc.,1996-12-20
12529,Wilderman-Leannon,Nuveen Energy MLP Total Return Fund,1993-05-04
12530,"Konopelski, Schaefer And Feil",Azul S.A.,1972-01-28
12531,"Upton, Kshlerin And Borer","National American University Holdings, Inc.",2017-02-17
12532,Schoen And Sons,Alhue,1989-06-22
12533,Raynor And Sons,BLDRS Developed Markets 100 ADR Index Fund,2000-08-01
12534,Feest-Graham,Dynatronics Corporation,1983-08-14
12535,Champlin-Bauch,Silvercrest Asset Management Group Inc.,1955-11-25
12536,Stiedemann-Wuckert,El Tofo,2017-05-17
12537,"Green, Towne And Baumbach",Gladstone Commercial Corporation,2013-02-01
12538,Feest-Graham,"India Fund, Inc. (The)",2002-04-13
12539,O'Reilly-Hilll,Andes Travertine,1997-07-02
12540,Little-Murazik,United States Cellular Corporation,1998-11-17
12541,Hickle ,SCL Chemetall,2019-03-08
12542,Braun-Bechtelar,Aircastle Limited,2016-02-19
12543,"Veum, Ritchie And Crist",AdvisorShares Market Adaptive Unconstrained Income ETF,2007-06-06
12544,"Reilly, Veum And Wehner",Merus Labs International Inc.,1977-12-26
12545,Von-Grady,PowerShares KBW High Dividend Yield Financial Portfolio,2007-01-08
12546,Quitzon Group,BRF S.A.,2017-01-16
12547,Deckow And Sons,"Littelfuse, Inc.",2007-04-25
12548,Wolf And Sons,San Geronimo,2019-08-24
12549,"Mann, Walsh And Dickinson",Garrison Capital Inc.,2011-05-31
12550,Doyle-Jenkins,"Sierra Oncology, Inc.",2014-08-24
12551,Langosh-Reilly,"First Financial Bankshares, Inc.",1994-01-21
12552,"Steuber, Rutherford And Upton",Texas Pacific Land Trust,1996-11-20
12553,Goyette Inc,El Peñon,1998-10-25
12554,Beahan-Kuhlman,Las Pataguas,1992-09-26
12555,"Lakin, Smitham And Greenholt",El Tesoro,1965-08-31
12556,Senger-Bins,CMP - Algarrobo,2011-06-03
12557,"Dibbert, Mckenzie And Cronin",El Tofo,2017-05-18
12558,Stracke Inc,Montecristo,1980-09-20
12559,Kovacek-Swift,Data Processing,1984-05-22
12560,Hills-Quitzon,"UMH Properties, Inc.",1984-06-17
12561,Bednar-Flatley,iShares MSCI EM ESG Optimized ETF,2018-11-03
12562,Becker And Sons,Las Cenizas,2001-01-26
12563,Kautzer ,Northern Trust Corporation,1993-02-21
12564,Kuhn-Herzog,"First Financial Bankshares, Inc.",2005-08-22
12565,Rowe-Fisher,SAP SE,2011-08-05
12566,Mckenzie Inc,Cerro Iman,1971-12-22
12567,Cruickshank Inc,First Trust Multi-Asset Diversified Income Index Fund,2018-04-02
12568,Swaniawski Group,Peabody Energy Corporation,2018-12-05
12569,"Runte, Baumbach And Runte",BRF S.A.,2007-03-03
12570,Osinski-Kunze,Cosayach - Cala Cala,2015-06-06
12571,Mills ,United Microelectronics Corporation,2017-11-28
12572,"Upton, Kshlerin And Borer","National American University Holdings, Inc.",1996-12-17
12573,Stracke Group,E.I. du Pont de Nemours and Company,2005-12-29
12574,"Simonis, Roberts And Frami",Inseego Corp.,2013-01-06
12575,"Waelchi, Dare And Rolfson",Chimberos,2017-09-15
12576,Labadie And Sons,SAP SE,2014-01-30
12577,Bins Group,Tekla Healthcare Opportunies Fund,2009-01-15
12578,Lesch-Homenick,Las Arenitas,1983-05-13
12579,"Rice, Ondricka And Block",SQM - Pampa Blanca,1997-03-04
12580,"Macejkovic, Gusikowski And Keeling",Lomas Bayas,2000-05-04
12581,"Hilll, Blick And Cartwright",Can Can,2018-01-07
12582,Collins-Hermann,Lomas Bayas,1957-05-12
12583,Ritchie-Rath,"Sarepta Therapeutics, Inc.",1976-01-20
12584,"Wehner, Schneider And Frami","Hub Group, Inc.",1997-09-09
12585,Heidenreich Inc,"Biocept, Inc.",2014-07-31
12586,"Reilly, Veum And Wehner",Silicon Motion Technology Corporation,2019-04-16
12587,O'Reilly-Hilll,Peapack-Gladstone Financial Corporation,1978-01-29
12588,Dickinson ,Chimberos,2017-12-13
12589,Kilback ,Las Arenitas,2010-06-10
12590,Dicki-Schaden,Brookfield Global Listed Infrastructure Income Fund,2015-10-17
12591,Effertz-Zboncak,SQM - Maria Elena,1963-01-07
12592,"Funk, Turcotte And Jenkins",Escondida,2018-12-09
12593,Bergstrom Group,Vina Concha Y Toro,2017-10-26
12594,"Jacobi, Spencer And Mayer","Waste Management, Inc.",2003-08-07
12595,Aufderhar ,"AMC Entertainment Holdings, Inc.",2016-08-29
12596,Zieme-O'Reilly,Park-Ohio Holdings Corp.,2014-01-11
12597,Hickle ,Collahuasi,2010-11-02
12598,Nolan Inc,Marine Petroleum Trust,2019-07-10
12599,Conroy-Howe,Mantos Blancos,2018-12-29
12600,Von-Grady,Pucobre,2012-11-21
12601,"Mckenzie, Cummings And Rippin","FSB Bancorp, Inc.",1977-02-26
12602,Bradtke-Walsh,Condor,1990-08-29
12603,"Blick, Harber And Smith",Intracampos,1981-03-23
12604,Swaniawski Group,Punitaqui,2011-03-06
12605,"Shields, Wintheiser And Boyle","Silicon Laboratories, Inc.",2019-05-04
12606,Weimann And Sons,Eaton Vance Corporation,2010-07-21
12607,Hodkiewicz ,ACF - Lagunas,1991-01-20
12608,Nolan Inc,"Everspin Technologies, Inc.",2015-12-16
12609,Durgan ,DRDGOLD Limited,2018-11-29
12610,Luettgen-Satterfield,Laguna Siren,2012-03-03
12611,Jaskolski Inc,"Meridian Waste Solutions, Inc",1999-04-30
12612,"Bruen, Macgyver And Deckow","Clear Channel Outdoor Holdings, Inc.",1994-01-15
12613,Thiel ,Incyte Corporation,2007-10-18
12614,"Schaden, Homenick And Gutkowski",Zion Oil & Gas Inc,2018-05-01
12615,Morar-Schoen,ACF - Lagunas,2007-12-04
12616,Conroy ,"UMH Properties, Inc.",1999-08-18
12617,Renner Inc,La Picarda,2016-09-03
12618,Mcglynn ,Alliance National Municipal Income Fund Inc,1977-11-27
12619,Schneider And Sons,Maria Elisa,2001-11-07
12620,"Gerlach, Fritsch And Rippin","OraSure Technologies, Inc.",2002-11-13
12621,"Torphy, Adams And Walter","LTC Properties, Inc.",2018-12-14
12622,"Botsford, Breitenberg And Steuber",Kamada Ltd.,2009-07-26
12623,Will And Sons,"China Lodging Group, Limited",1963-01-12
12624,"Weissnat, Jaskolski And Bins",Kite Realty Group Trust,2019-01-12
12625,"Veum, Gislason And Morar",III de Atacama Minerals - Aguas Blancas,2009-11-27
12626,"Schiller, Ullrich And Willms","Hurco Companies, Inc.",2013-07-31
12627,"Turcotte, Stark And Hauck",Cambrex Corporation,1968-02-05
12628,Quitzon-Stark,SQM - Pampa Blanca,2014-05-03
12629,"Cassin, Rempel And Koelpin",Terreno Realty Corporation,2011-07-02
12630,Bins-Goldner,Alliance National Municipal Income Fund Inc,1978-09-11
12631,Lueilwitz-Runolfsdottir,Alhue,2015-06-26
12632,Stark Inc,iShares 20+ Year Treasury Bond ETF,2018-02-16
12633,Keebler ,ENGlobal Corporation,1986-06-19
12634,Cremin And Sons,"Everspin Technologies, Inc.",2005-04-27
12635,Lind-Schuppe,Cambrex Corporation,2011-09-20
12636,Lesch And Sons,Michilla,1976-04-07
12637,"Nienow, Harvey And Bartoletti",Eagle Bulk Shipping Inc.,2013-07-20
12638,Nikolaus-Mueller,Arenal,2018-05-21
12639,Aecc,Kamada Ltd.,2010-05-08
12640,"Russel, Kemmer And Pacocha",Kamada Ltd.,2005-07-25
12641,"Veum, Gislason And Morar",KT Corporation,1998-09-02
12642,Reichert And Sons,Incyte Corporation,2007-03-06
12643,"Cronin, Gibson And Parisian","UMH Properties, Inc.",1994-12-10
12644,"Volkman, Kulas And Hodkiewicz",Enel Generacion Chile S.A.,1997-09-25
12645,"Dibbert, Mckenzie And Cronin","MiMedx Group, Inc",1962-01-05
12646,"Wilkinson, Prosacco And Kilback","Discovery Communications, Inc.",2007-05-15
12647,"Torphy, Adams And Walter",Independence Holding Company,2013-04-26
12648,Effertz-Zboncak,Yelp Inc.,1984-06-03
12649,"Goodwin, Cremin And Raynor","Commerce Bancshares, Inc.",2018-06-09
12650,Mills ,Caserones,2007-05-06
12651,"Dubuque, Gaylord And Cole","Chegg, Inc.",2015-07-31
12652,Sporer And Sons,El Morro,2010-04-27
12653,Wolf-Boehm,"Everspin Technologies, Inc.",1996-01-14
12654,Wisoky ,Manantial,1991-12-29
12655,Marvin-Corkery,Trongol,2011-09-25
12656,Koelpin Group,"China Lodging Group, Limited",1990-05-10
12657,Grimes-Weber,"Midland States Bancorp, Inc.",2008-12-03
12658,Berge And Sons,Western Alliance Bancorporation,2018-01-28
12659,"Lubowitz, Weimann And Lemke",SQM - Pampa Blanca,2009-06-19
12660,Flatley Group,Collahuasi,2018-02-12
12661,Cassin Group,Cerro Blanco,1992-08-24
12662,Leannon-Brekke,West Corporation,2018-08-15
12663,Ritchie And Sons,Punitaqui,2014-12-12
12664,Shields Group,Forum Merger Corporation,2015-02-13
12665,Frami ,Nuveen AMT-Free Municipal Value Fund,2007-10-14
12666,"Hermann, Quigley And Heaney",Envision Healthcare Corporation,1994-04-17
12667,Bartoletti-Kunde,Lenga,2002-12-23
12668,"Veum, Gislason And Morar",Randgold Resources Limited,1983-04-07
12669,Moore-Reilly,"Biocept, Inc.",2017-09-06
12670,Farrell Group,"Investors Bancorp, Inc.",1979-04-10
12671,Hudson-Mayer,SAP SE,2009-11-04
12672,"Nolan, Reynolds And Waters",Romeral,1995-08-02
12673,"King, Gusikowski And Mosciski",Check-Cap Ltd.,1966-01-25
12674,"Collins, Collier And Herman",Punitaqui,2008-10-05
12675,"Kuhlman, Bashirian And Abbott","Ocular Therapeutix, Inc.",1997-03-12
12676,Rutherford-Becker,TICC Capital Corp.,2014-01-04
12677,Rosenbaum-Brekke,Kilroy Realty Corporation,1984-05-24
12678,"Nicolas, Smitham And Wilderman",Michilla,2001-02-06
12679,Jacobson Group,Mantos Blancos,2018-02-27
12680,Murphy-Yundt,Carvana Co.,2016-01-30
12681,Maggio-Kuvalis,Envision Healthcare Corporation,1980-11-19
12682,Carroll-Mcclure,"Franklin Financial Network, Inc.",2009-03-13
12683,Zboncak-Kerluke,Esperanza,1988-05-20
12684,Paucek Group,Costamare Inc.,1985-09-02
12685,Wuckert ,Montecristo,1975-10-11
12686,Ziemann-Trantow,Pure Cycle Corporation,2015-01-18
12687,Luettgen And Sons,Terreno Realty Corporation,2003-05-26
12688,Koss Group,Talcuna,2016-05-26
12689,Runolfsdottir-Prosacco,CMP - Romeral,1978-03-27
12690,Gusikowski-Emard,"Aspen Technology, Inc.",2015-03-04
12691,"Glover, Dickens And Russel",American Homes 4 Rent,2006-01-06
12692,Jenkins-Kemmer,Pirquitas,2010-10-13
12693,Zboncak And Sons,Elkhorn Commodity Rotation Strategy ETF,2014-07-05
12694,Kerluke-Yundt,Caserones,2008-03-31
12695,Adenex,"Universal Stainless & Alloy Products, Inc.",1959-09-08
12696,Dietrich ,Kopin Corporation,1987-10-17
12697,Conroy-Howe,"SeaChange International, Inc.",1981-11-23
12698,"Jacobson, Boyer And Gleichner",Imax Corporation,2003-12-15
12699,Mills ,Esperanza,2015-04-07
12700,Cole-Olson,Novelion Therapeutics Inc.,2016-05-22
12701,"Steuber, Rutherford And Upton",Tata Motors Ltd,1997-10-01
12702,Volkman-Conn,Alliance National Municipal Income Fund Inc,1987-07-08
12703,Leffler Group,Yahoo! Inc.,1972-08-12
12704,Hilll-Tromp,"HCA Healthcare, Inc.",1992-04-17
12705,Adavas,Tata Motors Ltd,2017-12-09
12706,Afrikable Ongd,"Kura Oncology, Inc.",1981-08-25
12707,Blanda-Gislason,Mantos Blancos,2018-06-22
12708,Collier-Anderson,Schwager,2013-04-07
12709,Brakus Group,"support.com, Inc.",2002-03-07
12710,"Bauch, Ernser And Cronin","Western Refining Logistics, LP",2017-10-27
12711,Africa Esperanza,"Gabelli Equity Trust, Inc. (The)",1982-03-26
12712,Schumm And Sons,Gabriela Mistral,2019-01-08
12713,"Cummerata, Gutmann And Gaylord",Independence Holding Company,2011-06-18
12714,Willms-Ondricka,"LTC Properties, Inc.",2018-10-07
12715,"Mcdermott, Bernier And White",Tres Valles,2013-02-07
12716,Schuster ,Georgia Power Company,1990-04-29
12717,Hoeger ,BLDRS Developed Markets 100 ADR Index Fund,2002-05-09
12718,Reichert-Hermiston,Northrop Grumman Corporation,2014-07-30
12719,"Tillman, Brakus And Padberg",Intracampos,2008-10-03
12720,Deckow And Sons,Chuquicamata,1992-07-15
12721,"Zemlak, Thompson And Schuppe",Limoneira Co,2009-09-05
12722,"Jerde, Veum And Orn",Gilat Satellite Networks Ltd.,2010-03-11
12723,"Halvorson, Jacobson And Ward",E.I. du Pont de Nemours and Company,2017-10-30
12724,Hilll Group,III de Atacama Kozan,1986-11-06
12725,"Doyle, Mccullough And Friesen",Diana Shipping inc.,2011-12-06
12726,Weimann Inc,Refugio,1992-01-15
12727,Marvin-Corkery,Las Arenitas,2010-12-24
12728,"Turner, Medhurst And Carroll",Quiborax,1995-07-18
12729,Mraz-Ratke,SQM - Yumbes,2017-04-08
12730,Christiansen ,Novanta Inc.,2006-06-06
12731,Aufderhar ,"Apple Hospitality REIT, Inc.",2014-09-16
12732,Skiles-Schamberger,iShares 20+ Year Treasury Bond ETF,2016-09-12
12733,Ziemann-Leuschke,Romeral,1997-02-16
12734,Daniel Inc,Las Cenizas,1995-01-03
12735,Zboncak-Mraz,Nuveen Municipal High Income Opportunity Fund,2011-08-18
12736,Koepp ,Cosayach - Soledad,2009-05-22
12737,Watsica Inc,"Tootsie Roll Industries, Inc.",1991-03-15
12738,"Langosh, Lueilwitz And Lehner","Westbury Bancorp, Inc.",2017-01-15
12739,"Dickens, Pfeffer And Nienow",Zion Oil & Gas Inc,1981-04-14
12740,Lesch-Homenick,ENGlobal Corporation,1996-12-16
12741,Goyette ,Andina,1997-11-11
12742,Marvin-Sipes,Kite Realty Group Trust,2014-10-04
12743,Rowe-Fisher,"Pinnacle Financial Partners, Inc.",2002-08-26
12744,Mueller-Simonis,La Marcelina,1959-05-16
12745,"Stokes, Kilback And Boyle",Entegra Financial Corp.,1984-01-02
12746,Yundt Group,"Portola Pharmaceuticals, Inc.",1968-01-29
12747,"Dare, O'Conner And Mohr","OraSure Technologies, Inc.",2007-11-02
12748,Aufderhar ,"Cleveland BioLabs, Inc.",2002-10-05
12749,"Botsford, Bechtelar And Conn",Arenal,2016-10-13
12750,"Sporer, Graham And Medhurst",Incyte Corporation,2015-12-01
12751,Hilll Group,United Microelectronics Corporation,1983-05-26
12752,"O'Reilly, Romaguera And Bode","Apple Hospitality REIT, Inc.",1962-04-19
12753,"Conroy, Wisoky And Daniel",Ferton,2005-09-12
12754,"Ratke, Swaniawski And Spinka","Franklin Financial Network, Inc.",2003-03-29
12755,"Lowe, Streich And Purdy",Lota,2007-12-10
12756,Glover Group,3M Company,1990-06-25
12757,Heaney Inc,Incyte Corporation,2009-04-09
12758,"Okuneva, Vonrueden And Quigley",Arlington Asset Investment Corp,2018-08-26
12759,"Mckenzie, Cummings And Rippin",Delta,2011-01-03
12760,Schowalter Group,"ILG, Inc",1992-12-29
12761,"King, Gusikowski And Mosciski",Incyte Corporation,2009-05-11
12762,"Lubowitz, Weimann And Lemke",First Trust International Multi-Asset Diversified Income Index,2006-01-19
12763,"Cartwright, Kulas And Fahey",Walter Investment Management Corp.,2018-10-29
12764,"Dickens, Pfeffer And Nienow","Waste Management, Inc.",2018-06-14
12765,"Conroy, Wisoky And Daniel","Xenia Hotels & Resorts, Inc.",2002-09-06
12766,Batz Inc,"Herman Miller, Inc.",1980-11-04
12767,"Grady, Mitchell And Lindgren",El Toqui,2002-11-28
12768,Afs Intercultura,Las Cenizas,2005-12-15
12769,Schuster-Kub,"Western New England Bancorp, Inc.",2011-04-02
12770,Cruickshank Inc,"Arista Networks, Inc.",2006-05-16
12771,Wiegand Group,Caserones,1989-03-30
12772,Carter-Muller,Kilroy Realty Corporation,2012-10-27
12773,"Steuber, Ferry And Williamson","Cogentix Medical, Inc.",1978-03-11
12774,"Littel, Bode And Dibbert","Franklin Financial Network, Inc.",2003-04-07
12775,Africa Digna,Pinatolca,1967-07-14
12776,"Cartwright, Kulas And Fahey",Quiborax,2016-11-06
12777,Hahn And Sons,Tranquilo,2019-07-04
12778,Prohaska-Brakus,"Nustar GP Holdings, LLC",2018-04-26
12779,"Champlin, Oberbrunner And Eichmann","Idera Pharmaceuticals, Inc.",2015-03-30
12780,Ernser-Eichmann,RenaissanceRe Holdings Ltd.,2002-12-28
12781,Weissnat Inc,"Investors Bancorp, Inc.",1996-11-11
12782,"Murray, Monahan And Hilll",Clifton Bancorp Inc.,1960-05-24
12783,Donnelly-Abbott,Jeronimo,2005-04-20
12784,"Koelpin, Stehr And Senger","MiMedx Group, Inc",1982-04-30
12785,Prohaska-Brakus,Terreno Realty Corporation,2016-07-09
12786,Gleason And Sons,"Recon Technology, Ltd.",1994-06-22
12787,Reichert-Hermiston,3M Company,2019-01-29
12788,Corkery ,Yelp Inc.,2007-09-17
12789,"Lowe, Quitzon And Johnson",Tuina,2014-05-17
12790,Glover Group,El Peñon,2010-12-26
12791,Morar-Schoen,"Nutanix, Inc.",2011-04-19
12792,Buckridge Group,Isla Guarello,2013-05-07
12793,Witting-Ernser,Quiborax,2008-01-30
12794,"Veum, Gislason And Morar",Central Garden & Pet Company,2000-09-23
12795,Klein-Bartoletti,"Ulta Beauty, Inc.",2016-10-20
12796,"Goyette, Huels And Champlin","Dupont Fabros Technology, Inc.",2001-02-05
12797,Wisoky ,Intracampos,1999-12-20
12798,Schimmel Inc,China Cord Blood Corporation,1972-10-23
12799,Trantow-Quigley,Navio,2007-06-01
12800,Jacobson Group,Peckett,2000-03-07
12801,Adem,Entegra Financial Corp.,1997-05-24
12802,"Grady, Hermann And Streich",Kamada Ltd.,2003-02-27
12803,"Shields, Grant And Bernier",United Insurance Holdings Corp.,2016-02-10
12804,"Jacobs, Braun And Schimmel",Array BioPharma Inc.,2017-08-28
12805,"Friesen, Friesen And Hodkiewicz",Dorado,2019-03-02
12806,"Blick, Herman And Grady",Mackinac Financial Corporation,2016-01-22
12807,Doyle-Jenkins,Drive Shack Inc.,1958-07-27
12808,Kub-Dibbert,Manantial,1997-09-28
12809,Wisozk-Bernier,Chuquicamata,1967-08-12
12810,Lueilwitz-Runolfsdottir,El Peñon,1996-12-05
12811,Towne-Hamill,"Sportsman's Warehouse Holdings, Inc.",2006-12-03
12812,Roob-Nicolas,PowerShares BuyBack Achievers Portfolio,1984-11-21
12813,Schmidt-Schinner,Sierra Gorda,2012-02-01
12814,Kautzer ,"Impax Laboratories, Inc.",2010-08-18
12815,"Toy, Hahn And King",Kilroy Realty Corporation,1966-03-01
12816,Paucek Group,"The Travelers Companies, Inc.",1991-01-24
12817,Wolf And Sons,United Microelectronics Corporation,1976-07-01
12818,Russel Group,Algorta,1965-04-05
12819,Trantow-Quigley,SQM - Maria Elena,2001-12-24
12820,Dickens-Boyle,"Westbury Bancorp, Inc.",2019-06-30
12821,Cummerata Group,Andacollo Oro,2018-02-14
12822,Thiel ,First Trust Nasdaq Retail ETF,1978-11-27
12823,Romaguera-Gerhold,Patriot National Bancorp Inc.,2015-02-25
12824,Langworth ,Biglari Holdings Inc.,2015-06-17
12825,"Goyette, Huels And Champlin",Cerro Bayo,2017-01-08
12826,Jenkins-Dicki,Torchmark Corporation,2010-11-13
12827,Von-Grady,"The Travelers Companies, Inc.",1997-01-23
12828,Lynch ,Comcast Corporation,2015-05-15
12829,Senger Inc,Cerro Blanco,2001-06-16
12830,Tromp ,Biglari Holdings Inc.,2013-04-22
12831,Gottlieb ,Alliance National Municipal Income Fund Inc,2003-08-19
12832,Marvin-Wolff,Victoria,2016-11-25
12833,Koepp Group,Celite - Carol,2004-10-30
12834,Goldner-Klocko,Manto Verde,2017-03-17
12835,Huels ,Andes Travertine,2000-01-19
12836,Witting-Ernser,"Avon Products, Inc.",2005-08-05
12837,Schimmel-Mcglynn,Nuveen Floating Rate Income Fund,2001-12-24
12838,Terry Group,Caupolican,1977-03-27
12839,Gutkowski Group,"Impax Laboratories, Inc.",2014-06-04
12840,Haag-Stoltenberg,The9 Limited,2006-03-28
12841,"Lowe, Quitzon And Johnson","Financial Engines, Inc.",1999-05-18
12842,Jerde And Sons,"The Chefs' Warehouse, Inc.",2019-02-16
12843,Medhurst-Jones,CMP - Algarrobo,1999-10-29
12844,Olson-Green,Array BioPharma Inc.,2007-04-27
12845,Schumm And Sons,Applied DNA Sciences Inc,1987-09-04
12846,Prohaska-Brakus,Marte Lobo,2012-12-19
12847,Casper-Jacobson,Novelion Therapeutics Inc.,2010-02-14
12848,Nikolaus-Mueller,Los Pelambres,1979-01-17
12849,"Feil, Shields And Gislason",La Coipa,2010-03-25
12850,Maggio-Kuvalis,"Impax Laboratories, Inc.",2018-04-20
12851,Lesch And Sons,ENGlobal Corporation,2018-07-29
12852,Cremin-Jenkins,"ILG, Inc",1991-11-27
12853,Corkery-Corwin,"CenterPoint Energy, Inc.",2011-07-20
12854,"Turner, Reynolds And Wolf","Sportsman's Warehouse Holdings, Inc.",1993-06-20
12855,Marvin-Sipes,Don Alberto,1994-06-25
12856,Hermiston Group,Peckett,1956-03-29
12857,Hickle Group,Laguna Siren,1986-11-28
12858,"Schmidt, Ryan And Jacobson","Gabelli Equity Trust, Inc. (The)",1976-05-24
12859,Sporer Inc,Refugio,1986-05-23
12860,"Champlin, Oberbrunner And Eichmann",Escondida,2018-08-21
12861,Gutkowski ,"Portola Pharmaceuticals, Inc.",1986-08-18
12862,Torphy Inc,Vina Concha Y Toro,2013-05-23
12863,Kautzer ,First Trust Emerging Markets Small Cap AlphaDEX Fund,2012-06-20
12864,"Stokes, Kilback And Boyle",Ivan,2005-11-04
12865,Moore-Lueilwitz,American Homes 4 Rent,1992-12-31
12866,Rohan Inc,Westpac Banking Corporation,2000-07-02
12867,"Gorczany, Lindgren And Smitham",Dynatronics Corporation,1979-02-01
12868,Breitenberg ,Galectin Therapeutics Inc.,2018-02-01
12869,Trantow-Quigley,Antucoya,2007-08-09
12870,Mcglynn ,Forum Merger Corporation,1973-07-03
12871,"Waelchi, Dare And Rolfson",BLDRS Asia 50 ADR Index Fund,2019-08-26
12872,Rutherford-Becker,PIMCO Dynamic Credit and Mortgage Income Fund,1990-04-22
12873,Lakin-Bruen,"PrivateBancorp, Inc.",1985-09-22
12874,"Dare, O'Conner And Mohr",Celite - Carol,2016-01-17
12875,"Cassin, Grant And Pfannerstill","Biocept, Inc.",2011-08-20
12876,Bahringer Group,ENGlobal Corporation,1987-06-28
12877,Lebsack-Senger,Clifton Bancorp Inc.,1957-07-08
12878,"Fay, Hyatt And Rolfson",Pirquitas,2014-07-20
12879,Zboncak-Kerluke,Bright Scholar Education Holdings Limited,1994-12-14
12880,Paucek Group,Natl Westminster Pfd,1982-06-16
12881,Jakubowski ,AdvisorShares Market Adaptive Unconstrained Income ETF,1996-08-23
12882,Kunze-Welch,Tuina,2012-12-25
12883,Rosenbaum-Brekke,CMP - Boqueron Chañar,1986-12-21
12884,Auer-Ryan,Trongol,2010-03-12
12885,Bradtke And Sons,Applied DNA Sciences Inc,1993-05-03
12886,Nikolaus-Mueller,CMP - Cerro Negro Norte,2019-04-18
12887,"Reichert, Mayer And Schmitt",Bed Bath & Beyond Inc.,2007-03-07
12888,Legros-Price,"UMH Properties, Inc.",1984-11-21
12889,Huels ,"Argos Therapeutics, Inc.",1998-03-10
12890,Zulauf And Sons,Patriot National Bancorp Inc.,2012-04-27
12891,Terry Group,"Mirna Therapeutics, Inc.",2015-04-23
12892,Hoppe-Wolf,Altamira,1987-01-29
12893,Schaden-Gleichner,Diageo plc,2016-03-09
12894,"Jacobs, Bechtelar And Skiles",Coiron,2000-04-03
12895,"Emard, Zemlak And Beier","Vectrus, Inc.",2007-04-07
12896,"Conroy, Wisoky And Daniel","Western Refining Logistics, LP",2006-01-22
12897,Mertz Inc,"Arista Networks, Inc.",1989-10-11
12898,"Cronin, Welch And Rippin",Eagle Bulk Shipping Inc.,2006-12-17
12899,"Schaefer, Bednar And Welch","Ulta Beauty, Inc.",2008-06-04
12900,Cruickshank Inc,Andes Travertine,2010-06-27
12901,Prohaska Inc,Chimborazo,2018-03-01
12902,Jenkins-Ward,"First Financial Bankshares, Inc.",1985-06-18
12903,Schoen And Sons,"Spark Energy, Inc.",1987-12-02
12904,Stracke-Mayer,"Midland States Bancorp, Inc.",2012-02-15
12905,"Weber, Rippin And Krajcik",West Corporation,2005-01-10
12906,Dicki-Schaden,Colico Sur,2014-10-22
12907,Greenholt Inc,"Diamond Hill Investment Group, Inc.",2010-12-12
12908,"Friesen, Friesen And Hodkiewicz",Entercom Communications Corporation,2007-08-03
12909,Kuhlman-Bernhard,"Western Refining Logistics, LP",2015-12-10
12910,Borer-Trantow,First Trust International Multi-Asset Diversified Income Index,2006-04-07
12911,Ebert-Pollich,Algorta,2002-06-01
12912,Sporer Inc,"Entergy Louisiana, Inc.",2017-01-15
12913,Monahan-Grimes,Comcast Corporation,2018-07-24
12914,Schmitt-Mckenzie,Peapack-Gladstone Financial Corporation,1966-08-09
12915,Blick-Bartell,"Under Armour, Inc.",2008-11-10
12916,Aufderhar-Mitchell,Yahoo! Inc.,2017-04-23
12917,"Cole, Reichert And Halvorson",SL Green Realty Corporation,2008-04-20
12918,Brekke-Crist,Kilroy Realty Corporation,2014-08-14
12919,Kerluke-Yundt,Cabot Corporation,2014-10-20
12920,"Bartoletti, Macejkovic And Doyle",Nuveen Floating Rate Income Fund,1969-07-06
12921,Little-Murazik,"Diamond Hill Investment Group, Inc.",2012-04-23
12922,Erdman-Block,Terreno Realty Corporation,2017-10-23
12923,Koelpin-Hand,Punta de Lobos - Kanita,2012-07-17
